Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
"Bahamas, The",BHS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.53551107063979
Bahrain,BHR,"Population, total",SP.POP.TOTL,1524693
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,46458191489.3617
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,30470.5219276023
Bahrain,BHR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,83
Bahrain,BHR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,25.4678810750754
Bangladesh,BGD,"Population, total",SP.POP.TOTL,169384897
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,460131689083.083
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2716.48592780431
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666
Bangladesh,BGD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.713556533909868
Barbados,BRB,"Population, total",SP.POP.TOTL,282318
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,6884900000
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,24387.0387293761
Barbados,BRB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1422
Barbados,BRB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.4401561359885
Belarus,BLR,"Population, total",SP.POP.TOTL,9228071
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,73775179924.603
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7994.64806074889
Belarus,BLR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,618
Belarus,BLR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.05700801391753
Belgium,BEL,"Population, total",SP.POP.TOTL,11680210
